frame,t,theta,velocity,acceleration,kinetic_energy,potential_energy,mechanical_energy
142,0.081,-0.158824961931484,0.0872664625997166,5.374337025958156,0.02193245422464308,0.7082905423311111,0.7302229965557542
143,0.123,-0.15358897417550102,0.12466637514245163,0.890474108160358,0.04476011066253643,0.6624501884189528,0.7072102990814891
144,0.166,-0.14486232791552936,0.202945261859806,1.8204392259849846,0.11861792441667425,0.5894383149859284,0.7080562394026026
145,0.208,-0.13439035240356337,0.24933275028490468,1.1044640101213976,0.17904044265014774,0.5074222394076452,0.6864626820577929
146,0.248,-0.12217304763960307,0.3054326190990073,1.4024967203525658,0.26867256425187636,0.41946680715427714,0.6881393714061534
147,0.289,-0.10821041362364843,0.34055204916962556,0.8565714651370306,0.3340100107976574,0.32915567226515674,0.6631656830628141
148,0.335,-0.09250245035569947,0.3414774623467162,0.02011767776284045,0.3358277489973686,0.2405934647230059,0.5764212137203746
149,0.382,-0.07504915783575616,0.371346649360496,0.6355146173144635,0.3971472018948494,0.15840717384740727,0.5555543757422567
150,0.423,-0.05585053606381855,0.46825906760823477,2.3637175182375323,0.6314876766643202,0.08774630750618159,0.7192339841705018
151,0.463,-0.03665191429188092,0.4799655442984402,0.2926619172551351,0.66345674029545,0.037794774427364806,0.7012515147228148
152,0.504,-0.017453292519943295,0.46825906760823505,-0.28552382171232055,0.6314876766643208,0.008570985535050027,0.6400586621993708
153,0.545,0.003490658503988659,0.5108280737544375,1.038268442590303,0.7515225242947268,0.0003428477763140805,0.7518653720710409
154,0.585,0.022689280275926284,0.4799655442984415,-0.7715632363999012,0.6634567402954537,0.014484711843287682,0.6779414521387414
155,0.626,0.04363323129985824,0.5108280737544374,0.7527446208779476,0.7515225242947264,0.05356152083663603,0.8050840451313624
156,0.667,0.061086523819801536,0.4256900614620313,-2.0765368851806345,0.5218906418713382,0.1049645918497547,0.6268552337210929
157,0.707,0.07853981633974483,0.4363323129985831,0.26605628841379536,0.5483113556160772,0.17347766070147722,0.7217890163175544
158,0.749,0.09599310885968812,0.41555458380817323,-0.4947078378669014,0.49733456291707406,0.2590798576473366,0.7564144205644107
159,0.791,0.10995574287564276,0.33244366704653877,-1.9788313514674853,0.3182941202669278,0.33984843956867095,0.6581425598355988
160,0.831,0.12391837689159739,0.34906585039886634,0.41555458380819,0.35091926759428915,0.43152172910654746,0.7824409967008366
161,0.875,0.13439035240356337,0.23799944345377202,-2.524236521479414,0.16313395704279907,0.5074222394076452,0.6705561964504443
162,0.921,0.143116998663535,0.18970970130373097,-1.0497770032617613,0.10365053981400237,0.575344650417993,0.6789951902319954
163,0.964,0.15009831567151233,0.1623562094878451,-0.6361277166485096,0.0759154716266718,0.6327369053035389,0.7086523769302107
164,1.006,0.15358897417550102,0.08311091676163544,-1.8867926839573712,0.019893382516683347,0.6624501884189528,0.6823435709356361
165,1.05,0.15533430342749532,0.039666573908961424,-0.9873714284698631,0.004531498806744285,0.6775609618544745,0.6820924606612188
166,1.093,0.15358897417550102,-0.04058905237196063,-1.8664099135098184,0.004744716976666836,0.6624501884189528,0.6671949053956195
167,1.133,0.15184364492350666,-0.04363323129985895,-0.07610447319745799,0.005483113556160934,0.6475088210639713,0.6529919346201323
168,1.174,0.14486232791552936,-0.1702760245848125,-3.0888486167061893,0.08350250269941409,0.5894383149859284,0.6729408176853424
169,1.215,0.1361356816555577,-0.21284503073101532,-1.038268442590309,0.13047266046783415,0.5206671279014172,0.6511397883692513
170,1.255,0.12566370614359174,-0.2617993877991503,-1.2238589267033801,0.19739208802178848,0.4437467605874946,0.641138848609283
171,1.296,0.1117010721276371,-0.34055204916962417,-1.920796618792039,0.3340100107976547,0.3507115956536072,0.6847216064512619
172,1.337,0.09773843811168245,-0.34055204916962606,-4.603363760640901e-14,0.3340100107976584,0.2685790205424537,0.6025890313401121
173,1.377,0.08203047484373349,-0.39269908169872364,-1.3036758132274384,0.44413219804902,0.18923172933762689,0.6333639273866469
174,1.418,0.0645771823237902,-0.4256900614620323,-0.80465804300753,0.5218906418713407,0.117298998609472,0.6391896404808127
175,1.459,0.0471238898038469,-0.42569006146203014,5.2803290195586526e-14,0.5218906418713354,0.062472508540145036,0.5843631504114805
176,1.499,0.027925268031909273,-0.47996554429844024,-1.3568870709102512,0.6634567402954502,0.021940854081050756,0.6853975943765009
177,1.541,0.008726646259971648,-0.45711004218899304,0.5441786216535072,0.6017748211296662,0.0021427871791467133,0.6039176083088129
178,1.583,-0.012217304763960306,-0.498665500569808,-0.9894156757336892,0.716161770600587,0.0041998372841327795,0.7203616078847198
179,1.625,-0.029670597283903602,-0.41555458380817334,1.9788313514674907,0.4973345629170744,0.02476895980964012,0.5221035227267146
180,1.666,-0.048869219055841226,-0.4682590676082356,-1.2854752146356674,0.6314876766643224,0.06718485988332852,0.6986725365476509
181,1.707,-0.06632251157578452,-0.42569006146203,1.0382684425903774,0.5218906418713349,0.12372281157122983,0.6456134534425648
182,1.749,-0.08377580409572781,-0.41555458380817323,0.2413208965203986,0.49733456291707406,0.19736504716229167,0.6946996100793658
183,1.792,-0.09773843811168245,-0.3247124189756899,2.1126084844763597,0.3036618865066867,0.2685790205424537,0.5722409070491403
184,1.833,-0.1117010721276371,-0.34055204916962606,-0.3863324437545407,0.3340100107976584,0.3507115956536072,0.6847216064512656
185,1.874,-0.12217304763960307,-0.25541403687721803,2.0765368851806763,0.18788063107368064,0.41946680715427714,0.6073474382279578
186,1.915,-0.1308996938995747,-0.2128450307310158,1.0382684425903004,0.13047266046783473,0.48144213721654594,0.6119147976843806
