frame,t,theta,velocity,acceleration,kinetic_energy,potential_energy,mechanical_energy
142,0.081,-0.15207198978462447,0.12298431381188801,1.485743340195781,0.04356040735808913,0.6494539959412433,0.6930144032993324
143,0.123,-0.14561292796065567,0.18414819658467987,1.4226383061756058,0.09766240791952291,0.595551631236568,0.6932140391560908
144,0.166,-0.13640512415885225,0.2434768384157942,1.3326780630319865,0.1707291960334582,0.522726997573556,0.6934561936070143
145,0.208,-0.12503470978897424,0.29719361881850764,1.2215891146382782,0.25437325555134843,0.43932139796702135,0.6936946535183698
146,0.248,-0.1122019134794124,0.3436101360139623,1.096212694693859,0.3400356256460169,0.35386035560211354,0.6938959812481305
147,0.289,-0.09723232190022138,0.385614174911413,0.9499597849651629,0.4282510806507162,0.265806858051918,0.6940579387026342
148,0.335,-0.07855179764744016,0.4251828158454924,0.7674510630154904,0.5206476294440694,0.17353056581171528,0.6941781952557846
149,0.382,-0.05779388222245034,0.45654352456509745,0.5646462293133399,0.6002841306882866,0.09395716448298384,0.6942412951712704
150,0.423,-0.03865285588962006,0.475886840293055,0.37763840204158794,0.65222866012063,0.04203355814908283,0.6942622182697128
151,0.463,-0.0193652199066852,0.48723836340843757,0.18919819848831437,0.6837155215975661,0.010551600638638253,0.6942671222362043
152,0.504,0.000715720455451142,0.49097869888390394,-0.006992588849757657,0.6942530383422659,1.4413647348600022e-05,0.6942674519896145
153,0.545,0.02078492235435917,0.4866665393400432,-0.2030686914020891,0.6821116430780558,0.012155371296186268,0.6942670143742421
154,0.585,0.04003866297273306,0.4747661044268795,-0.391177737243602,0.649160219268503,0.04510120711387551,0.6942614263823785
155,0.626,0.05912250056272567,0.45487838471997566,-0.5776268304978298,0.595913313270108,0.09832549256232354,0.6942388058324316
156,0.667,0.07723667563498836,0.4275302478184283,-0.7546023209538363,0.5264124848630977,0.16777153876104037,0.694184023624138
157,0.707,0.09369047013604145,0.3940875074373389,-0.9153558932291249,0.44727829493234295,0.24680853931676464,0.6940868342491076
